No;Nama Kecamatan;Kode Kecamatan;Laki-Laki;Perempuan;Jumlah
1;Wringinanom;3525010;37.372;36.782;74.154
2;Driyorejo;3525020;54.918;54.006;108.924
3;Kedamean;3525030;32.448;31.765;64.213
4;Menganti;3525040;67.540;66.335;133.875
5;Cerme;3525050;42.291;41.612;83.903
6;Benjeng;3525060;33.421;33.187;66.608
7;Balongpanggang;3525070;28.240;28.622;56.862
8;Duduksampeyan;3525080;24.868;24.868;49.736
9;Kebomas;3525090;57.627;57.451;115.078
10;Gresik;3525100;39.737;40.268;80.005
11;Manyar;3525110;61.933;60.712;122.645
12;Bungah;3525120;35.240;34.341;69.581
13;Sidayu;3525130;22.444;22.098;44.542
14;Dukun;3525140;33.321;32.765;66.086
15;Panceng;3525150;26.845;26.761;53.606
16;Ujungpangkah;3525160;26.387;25.972;52.359
17;Sangkapura;3525170;27.434;26.877;54.311
18;Tambak;3525180;15.474;15.535;31.009
