No;Nama Kecamatan;Kode Kecamatan;Laki-laki;Perempuan;Jumlah
1;Bandung Kulon;3273010;70105;68575;138680
2;Babakan Ciparay;3273020;75838;72883;148721
3;Bojongloa Kaler;3273030;64109;62276;126385
4;Bojongloa Kidul;3273040;45557;44473;90030
5;Astanaanyar;3273050;36808;37045;73853
6;Regol;3273060;40530;41176;81706
7;Lengkong;3273070;35557;36349;71906
8;Bandung Kidul;3273080;31388;31695;63083
9;Buahbatu;3273090;53784;54280;108064
10;Rancasari;3273100;44505;45251;89756
11;Gedebage;3273101;22214;22167;44381
12;Cibiru;3273110;40283;39169;79452
13;Panyileukan;3273111;20907;21152;42059
14;Ujung Berung;3273120;47431;47143;94574
15;Cinambo;3273121;13531;13118;26649
16;Arcamanik;3273130;41834;42009;83843
17;Antapani;3273141;40851;41499;82350
18;Mandalajati;3273142;38780;38390;77170
19;Kiaracondong;3273150;66650;66413;133063
20;Batununggal;3273160;61848;61479;123327
21;Sumur Bandung;3273170;20224;20191;40415
22;Andir;3273180;49548;49963;99511
23;Cicendo;3273190;49051;48779;97830
24;Bandung Wetan;3273200;14602;14807;29409
25;Cibeunying Kidul;3273210;57753;57784;115537
26;Cibeunying Kaler;3273220;35899;36541;72440
27;Coblong;3273230;58922;59019;117941
28;Sukajadi;3273240;52241;52363;104604
29;Sukasari;3273250;39347;39443;78790
30;Cidadap;3273260;28454;27780;56234
