No;Nama Kecamatan;Kode Kecamatan;Laki-laki;Perempuan;Jumlah
1;Mariso;7371010;29.316;29.481;58.797
2;Mamajang;7371020;28.516;29.559;58.075
3;Tamalate;7371030;94.368;94.854;189.222
4;Rappocini;7371031;73.744;77.125;150.869
5;Makassar;7371040;40.638;41.338;81.976
6;Ujung Pandang;7371050;12.071;12.805;24.876
7;Wajo;7371060;14.440;14.951;29.391
8;Bontoala;7371070;27.414;27.830;55.244
9;Ujung Tanah;7371080;18.381;18.340;36.721
10;Kepulauan Sangkarrang;7371081;7.501;7.506;15.007
11;Tallo;7371090;74.560;73.448;148.008
12;Panakkukang;7371100;71.682;72.694;144.376
13;Manggala;7371101;80.434;81.393;161.827
14;Biring Kanaya;7371110;107.869;108.835;216.704
15;Tamalanrea;7371111;53.074;53.694;106.768
