No;Nama Kecamatan;Kode Kecamatan;Laki-Laki;Perempuan;Jumlah
1;Tarik;3515010;34.287;33.661;67.948
2;Prambon;3515020;40.264;39.307;79.571
3;Krembung;3515030;34.613;34.488;69.101
4;Porong;3515040;35.479;34.976;70.455
5;Jabon;3515050;28.000;27.737;55.737
6;Tanggulangin;3515060;44.192;44.093;88.285
7;Candi;3515070;78.922;78.869;157.791
8;Tulangan;3515080;51.581;51.240;102.821
9;Wonoayu;3515090;43.082;42.256;85.338
10;Sukodono;3515100;63.169;62.409;125.578
11;Sidoarjo;3515110;99.232;100.938;200.170
12;Buduran;3515120;50.631;50.598;101.229
13;Sedati;3515130;48.969;48.709;97.678
14;Waru;3515140;96.869;98.892;195.761
15;Gedangan;3515150;60.118;59.948;120.066
16;Taman;3515160;101.722;101.412;203.134
17;Krian;3515170;67.041;65.770;132.811
18;Balong Bendo;3515180;37.691;36.709;74.400
