No;Nama Kecamatan;Kode Kecamatan;Laki-Laki;Perempuan;Jumlah
1;Karang Pilang;3578010;37.291;38.212;75.503
2;Jambangan;3578020;26.828;27.384;54.212
3;Gayungan;3578030;21.399;22.447;43.846
4;Wonocolo;3578040;39.485;40.549;80.034
5;Tenggilis Mejoyo;3578050;28.982;29.950;58.932
6;Gunung Anyar;3578060;30.785;31.557;62.342
7;Rungkut;3578070;61.032;62.621;123.653
8;Sukolilo;3578080;57.097;58.816;115.913
9;Mulyorejo;3578090;43.266;44.948;88.214
10;Gubeng;3578100;64.656;67.726;132.382
11;Wonokromo;3578110;75.291;78.272;153.563
12;Dukuh Pakis;3578120;29.349;29.996;59.345
13;Wiyung;3578130;38.047;38.454;76.501
14;Lakarsantri;3578140;32.427;32.586;65.013
15;Sambikerep;3578141;34.299;34.777;69.076
16;Tandes;3578150;45.099;46.685;91.784
17;Suko Manunggal;3578160;51.739;52.427;104.166
18;Sawahan;3578170;98.074;100.442;198.516
19;Tegalsari;3578180;48.025;49.486;97.511
20;Genteng;3578190;28.516;29.700;58.216
21;Tambaksari;3578200;112.303;114.722;227.025
22;Kenjeran;3578210;93.195;92.099;185.294
23;Bulak;3578211;23.797;24.042;47.839
24;Simokerto;3578220;45.759;46.298;92.057
25;Semampir;3578230;91.826;91.469;183.295
26;Pabean Cantian;3578240;36.682;37.249;73.931
27;Bubutan;3578250;47.922;48.782;96.704
28;Krembangan;3578260;57.094;57.772;114.866
29;Asemrowo;3578270;24.636;24.205;48.841
30;Benowo;3578280;37.456;37.477;74.933
31;Pakal;3578281;32.377;32.138;64.515
